Signatur,Titel,Autor,Verlag,ISBN,Erscheinungsjahr,Kategorie,Standort,Status,Notizen
Ju3 May 1,Winnetou I,Karl May,Karl-May-Verlag,978-3-8032-0001,1985,Jugend/Abenteuer,Vitrine 1,Vorhanden,
Ju3 May 2,Der Schut,Karl May,Karl-May-Verlag,978-3-8032-0002,1985,Jugend/Abenteuer,Vitrine 1,Vorhanden,
Ju3 May 3,Durch die Wüste,Karl May,Karl-May-Verlag,978-3-8032-0003,1985,Jugend/Abenteuer,Vitrine 1,Vorhanden,
Ju3 May 4,Winnetou II,Karl May,Karl-May-Verlag,978-3-8032-0004,1985,Jugend/Abenteuer,Vitrine 1,Vorhanden,
Ju3 May 5,Winnetou III,Karl May,Karl-May-Verlag,978-3-8032-0005,1985,Jugend/Abenteuer,Vitrine 1,Vorhanden,
Ju3 May 6,Old Surehand I,Karl May,Karl-May-Verlag,978-3-8032-0006,1990,Jugend/Abenteuer,Vitrine 1,Vorhanden,
Ju3 May 7,Old Surehand II,Karl May,Karl-May-Verlag,978-3-8032-0007,1990,Jugend/Abenteuer,Vitrine 1,Vorhanden,
Ju3 May 8,Der Ölprinz,Karl May,Karl-May-Verlag,978-3-8032-0008,1990,Jugend/Abenteuer,Vitrine 1,Vorhanden,
Ju3 May 9,Das Vermächtnis des Inka,Karl May,Karl-May-Verlag,978-3-8032-0009,1990,Jugend/Abenteuer,Vitrine 1,Vorhanden,
Ju3 May 10,Satan und Ischariot I,Karl May,Karl-May-Verlag,978-3-8032-0010,1990,Jugend/Abenteuer,Vitrine 1,Vorhanden,
Ju3 May 11,Satan und Ischariot II,Karl May,Karl-May-Verlag,978-3-8032-0011,1990,Jugend/Abenteuer,Vitrine 1,Vorhanden,
Ju3 May 12,Satan und Ischariot III,Karl May,Karl-May-Verlag,978-3-8032-0012,1990,Jugend/Abenteuer,Vitrine 1,Vorhanden,
Ju3 May 13,Weihnacht,Karl May,Karl-May-Verlag,978-3-8032-0013,1990,Jugend/Abenteuer,Vitrine 1,Vorhanden,
Ju3 May 14,Am Jenseits,Karl May,Karl-May-Verlag,978-3-8032-0014,1990,Jugend/Abenteuer,Vitrine 1,Vorhanden,
Ju3 May 15,Im Reiche des silbernen Löwen,Karl May,Karl-May-Verlag,978-3-8032-0015,1990,Jugend/Abenteuer,Vitrine 1,Vorhanden,
Ju3 May 16,Das versteinerte Gebet,Karl May,Karl-May-Verlag,978-3-8032-0016,1990,Jugend/Abenteuer,Vitrine 1,Vorhanden,
Ju3 May 17,Und Friede auf Erden,Karl May,Karl-May-Verlag,978-3-8032-0017,1990,Jugend/Abenteuer,Vitrine 1,Vorhanden,
