id,author,title,signatur,regal,fach,zustand,status_digitalisierung,cover_local,cover_online,year,language,isbn,publisher,description
514,Diverse Autoren,"DDR: Die Mauer, Bau und Fall",,,,,,,,1985,de,978-3-8032-0787,Propyläen,"""Der Band greift kritisch den Begriff ""DDR-Literatur"" auf. Ist er ein Auslaufmodell? Vielleicht. Die Geschichte seiner Inanspruchnahme hat den Blick auf das reale literarische Leben in der DDR verstellt. Archive und andere Quellen liefern die Belege. Eine neue Sicht kristallisiert sich heraus. Unerwartete Korrespondenzen leuchten Dunkelräume aus (etwa zwischen Dieter Schlenstedt und Heinz Czechowski oder zwischenFritz J. Raddatz und Roland Links), Nachlassprofile korrigieren Autorenbilder, und kaum wahrgenommene Phänomene wie Sammlungen von Zeitungsausschnitten geraten in den fokus. Fragt man heute nach einem Selbstverstandnis von DDR-Autorschaft, ergibt sich eine verblüffende Bandbreite -- von Hermann Kant über Elke Erb bis zu Durs Grünbein und Lutz Seiler.""--Back cover"
316,Diverse Autoren,"Sonne, Mond und Sterne Reihe - Abenteuer",,,,,,,,1985,de,978-3-8032-0589,Oetinger,"Kürschners Deutscher Literatur-Kalender – seit über 140 Jahren die bewährte Dokumentation der zeitgenössischen deutschsprachigen Literaturszene – umfasst in seiner 74. Ausgabe Einträge zu ca. 9.000 Schriftstellerinnen und Schriftstellern. Ohne literaturkritische Wertung stellt der Literatur-Kalender die lebenden Verfasserinnen und Verfasser schöngeistiger Literatur in deutscher Sprache vor – unabhängig von Staatsangehörigkeit und geographischem Lebens- und Wirkungsbereich. Die Artikel informieren über Adressen, Lebensdaten, Mitgliedschaften in Fachverbänden und literarischen Vereinigungen, literarische Preise sowie die Veröffentlichungen der Schriftstellerinnen und Schriftsteller. Neu bearbeitet und aktualisiert wurden auch die umfangreichen Verzeichnisse im Anhang: über 1.000 literarische …"
317,Diverse Autoren,"Sonne, Mond und Sterne Reihe - Tiergeschichten",,,,,,,,1985,de,978-3-8032-0590,Oetinger,
388,Else Wimmer,"Der kleine König, der nicht lachen konnte",,,,,,,,1985,de,978-3-8032-0661,Ellermann,
367,Janosch,"Janosch: Kleiner Tiger, kleiner Bär",,,,,,,,1985,de,978-3-8032-0640,Beltz & Gelberg,"Wer findet den kleinen Bär und den kleinen Tiger? Ein lustiges Wimmelbuch mit vielen Suchbildern am Seitenrand. Wenn der kleine Bär und der kleine Tiger mit ihren Freunden ein Picknick machen, Fußball spielen oder der Feuerwehr helfen, gibt es jede Menge zu entdecken. Da wimmelt es nur so von Altbekanntem, ebenso wie von noch nie Gesehenem! Janoschs wundersame Welt mit seinen eigentümlichen Figuren macht schon den Kleinsten Lust zu erzählen und zu fabulieren."
439,Janosch,"Janosch: Kleiner Tiger, kleiner Bär (Band 3)",,,,,,,,1985,de,978-3-8032-0712,Beltz & Gelberg,"Studienarbeit aus dem Jahr 2005 im Fachbereich Didaktik für das Fach Deutsch - Pädagogik, Sprachwissenschaft, Note: 2,0, Universität Vechta; früher Hochschule Vechta (Institut für Anglistik und Germanistik), Veranstaltung: Szenisches Spiel im Deustchunterricht, Sprache: Deutsch, Abstract: Szenisches Spiel wird immer häufiger im Deutschunterricht eingesetzt. Neben der Theater-AG, kann diese Unterrichtsform auch in jedem Schulfach eingesetzt werden. Die unterschiedlichen Spielformen, lassen eine breite Bandbreite an Möglichkeiten, wie eine Idee umgesetzt werden kann, sodass die Spielfähigkeit der Schüler verbessert wird. Die vorliegende Arbeit soll anhand eines Unterrichtsversuchs zeigen, in welcher Form das Szenische Spiel eingesetzt werden kann. Mit unterschiedlichen …"
412,Janosch,"Janosch: Kleiner Tiger, kleiner Bär (Forts.)",,,,,,,,1985,de,978-3-8032-0685,Beltz & Gelberg,"Freundschaft ist das Größte im Leben. Tiger und Bär möchten nichts verpassen, was ihre Freunde machen. Deshalb bauen sie sich eine Nachrichtenmaschine. Natürlich wollen nun alle Tiere im Wald so eine Maschine haben: Jetzt können sie sich den ganzen Tag hin und her schreiben und müssen gar nicht mehr rausgehen, um sich zu treffen. Da kann man ja nie mehr was verpassen! Oder verpassen sie vielleicht gerade das Beste? Den Wind um die Nase, das Lachen der Freunde. Gut, dass der Reiseesel Mallorca vorbeikommt und die Freunde ordentlich wachrüttelt. Oh, was für ein Vorlesespaß! Endlich gibt es neue Geschichten vom kleinen Tiger und vom kleinen Bären, von Freundschaft und Freiheit und vom Finden des kleinen Glücks. Nach einer Figurenwelt von Janosch behutsam weitergeführt und mit liebevollen …"
319,Janosch,"Janosch: Komm, wir finden einen Schatz",,,,,,,,1985,de,978-3-8032-0592,Beltz & Gelberg,"Der kleine Bär und der kleine Tiger träumen vom ""größten Glück der Erde"" - vom Reichtum. Und wo liegt der? In der Erde natürlich! Also graben sie. Überall suchen sie den Schatz. Dabei treffen sie auf viele Andere, die auch das Glück suchen. Und schließlich werden sie tatsächlich reich - verlieren aber gleich wieder alles und kehren zurück in ihr gemütliches Haus am Fluss."
380,Janosch,"Janosch: Oh, wie schön ist Panama",,,,,,,,1985,de,978-3-8032-0653,Beltz & Gelberg,"###German-language description: **Wenn man einen** ***Freund*** **hat, braucht man sich vor nichts zu fürchten!** Der kleine Bär und der kleine Tiger sind **dicke Freunde**. Und sie fürchten sich vor nichts, weil sie zusammen wunderbar stark sind, stark wie ein Bär und stark wie ein Tiger. In ihrem Haus am Fluss haben sie es gemütlich. Doch eines Tages machen sie sich auf den Weg und suchen Panama, das Land ihrer Träume. Unterwegs erleben sie schöne Abenteuer. Aber wo ist Panama? Der Fuchs, die Kuh, die Maus - sie wissen nichts davon, nur die Krähe hilft ihnen weiter. Zum Schluss finden sie, was sie suchen. ---------- ###English-language description: Well-known and loved Germn children's book about the adventures of a bear and a tiger who are best friends and who are contemplating …"
357,Kirsten Boie,"King-Kong, das Geheimnis der Bananen",,,,,,,,1985,de,978-3-8032-0630,Oetinger,"King-Kong, ein Schwein auf geheimer Mission. Susanna hat Junge gekriegt. Mehrere auf einmal. Das ist bei Meerschweinchen nichts Besonderes. Eins von ihnen gehört jetzt Jan-Arne. Nett, dass Frieder es ihm geschenkt hat. Einfach so. Es fühlt sich warm und weich an, und wenn man es in die Hand nimmt, fiept es ganz leise. Frieder sagt, dass es ein Weibchen ist, aber Jan-Arne gibt ihm den Namen King-Kong. Schließlich soll es mal groß und stark und wild werden."
